LP08_Strat_depth,Mean_age,LP08_Ln(Fe/Mn),100-yr_PCHIP_age,LP08_Ln(Fe/Mn),LP08_Ln(Fe/Mn)_Z_score
cm,cal a BP,NA,cal a BP,NA,NA
5.8,118.54,3.544744647,120,3.5476,0.71036
6.1,127.62,3.572206339,130,3.5865,0.75116
6.3,133.67,3.603858623,140,3.5155,0.6637
6.6,142.75,3.483127646,150,3.4632,0.62373
6.9,151.83,3.45946629,160,3.4431,0.6291
7.2,160.9,3.442783415,170,3.5493,0.70366
7.5,169.98,3.54934763,180,3.5863,0.83869
7.7,176.04,3.536749678,190,3.6884,0.83861
8,185.11,3.669994191,200,3.6259,0.68011
8.3,194.19,3.694444299,210,3.5141,0.84643
8.6,203.27,3.57508844,220,3.6736,0.82228
8.8,209.33,3.511383779,230,3.6505,0.72663
9.1,218.4,3.687607459,240,3.5996,0.26095
9.3,224.46,3.606595762,250,3.138,0.73263
9.6,233.54,3.672822017,260,3.5764,0.62952
9.9,242.61,3.545238274,270,3.4672,0.59043
10.2,251.92,3.095289466,280,3.4255,0.61219
10.4,258.2,3.58316275,290,3.4513,0.68124
10.7,267.63,3.488167606,300,3.5574,0.66655
11,277.05,3.424012059,310,3.4543,0.64524
11.3,286.47,NaN,320,3.5193,0.75941
11.6,295.89,3.480213922,330,3.628,0.77647
11.8,302.18,3.58302572,340,3.5694,0.59496
12.1,311.6,3.443644072,350,3.4395,0.6549
12.4,321.02,3.530058215,360,3.4867,0.64112
12.7,330.44,3.628466327,370,3.5263,0.72385
13,339.86,3.571008209,380,3.5427,0.69494
13.2,346.15,3.40598296,390,3.4744,0.63221
13.5,355.57,3.497956417,400,3.3996,0.57272
13.8,364.99,3.473213999,410,3.6738,0.87733
14.1,374.41,3.570222875,420,3.6237,0.71848
14.4,383.84,3.513924316,430,3.4182,0.64885
14.6,390.12,3.473518043,440,3.2757,0.46564
14.9,399.54,3.392268751,450,3.2233,0.39468
15.1,405.82,3.872636761,460,3.9053,0.88081
15.4,415.24,3.394508394,470,3.3687,0.70103
15.6,421.53,3.663758865,480,3.4493,0.57106
15.9,430.95,3.395724342,490,3.4343,0.63285
16.1,437.23,3.301113923,500,3.2467,0.56657
16.5,449.79,3.222274299,510,3.2726,0.37458
16.8,459.22,3.916015027,520,3.4695,0.46333
17.1,468.64,3.364858786,530,3.3076,0.62192
17.3,474.92,3.409379777,540,3.476,0.47449
17.6,484.34,3.468048043,550,3.3399,0.64982
17.9,493.76,3.392171261,560,3.2662,0.50953
18.2,503.19,3.205131002,570,3.2402,0.47167
18.5,512.61,3.315976974,580,3.3809,0.3913
18.7,518.89,3.476679326,590,3.6137,0.42954
19,528.31,3.290237747,600,3.6199,0.59088
19.3,537.74,3.494571452,610,3.4799,0.77675
19.6,547.16,3.351035309,620,3.3156,0.79361
19.9,556.58,3.319475023,630,3.2078,0.72079
20.1,563.4,3.222867846,640,3.3124,0.58298
20.4,574.43,3.267105608,650,3.3158,0.46114
20.6,581.79,3.422482246,660,3.3691,0.37654
20.9,592.82,3.637844124,670,3.3558,0.41697
21.1,600.17,3.619172042,680,3.3275,0.53379
21.4,611.2,3.460104844,690,3.2305,0.44143
21.6,618.56,3.333885968,700,3.0751,0.56228
22,633.27,3.197608618,710,3.1825,0.53088
22.3,644.3,3.370862002,720,3.3195,0.49422
22.6,655.33,3.265973414,730,3.2177,0.48871
22.8,662.69,3.413989986,740,3.26,0.32128
23.1,673.72,3.331845508,750,3.4163,0.23612
23.4,684.75,3.323673075,760,3.2826,0.26765
23.7,695.78,3.105262167,770,3.2213,0.5317
24,706.82,3.051552344,780,3.2307,0.42171
24.2,714.17,3.379155282,790,3.2735,0.37015
24.5,725.2,3.250515426,800,3.2909,0.4348
24.8,736.23,3.195655283,810,3.2379,0.59668
25.1,747.27,3.433856066,820,3.2387,0.48368
25.4,758.3,3.294101713,830,3.2506,0.42646
25.6,765.65,3.252740339,840,3.1461,0.37183
25.9,776.68,3.188016953,850,3.1216,0.39443
26.1,784.04,3.288090894,860,3.2803,0.44627
26.4,795.07,3.262129103,870,3.4073,0.4282
26.7,806.1,3.330439285,880,3.4089,0.4873
26.9,813.46,3.160489767,890,3.3251,0.35292
27.2,824.49,3.283067063,900,3.3572,0.3961
27.5,835.52,3.194753883,910,3.3252,0.43769
27.8,846.55,3.096895802,920,3.333,0.36148
28.1,857.59,3.246461735,930,3.5984,0.27723
28.3,864.94,3.345655308,940,3.4908,0.30405
28.6,875.97,3.448513706,950,3.3068,0.43299
28.9,887,3.317705556,960,3.2947,0.53597
29.2,898.04,3.358210021,970,3.3368,0.61229
29.5,909.07,3.332041418,980,3.2096,0.52435
29.7,916.42,3.243169763,990,3.2077,0.49405
30,927.45,3.605796051,1000,3.0398,0.5234
30.3,938.56,3.511832424,1010,3.1436,0.50676
30.6,949.67,3.30878156,1020,2.9763,0.4214
30.8,957.08,3.280541371,1030,2.9865,0.61568
31.1,968.19,3.363556949,1040,3.2525,0.74684
31.3,975.6,3.185019644,1050,3.2914,0.53897
31.6,986.71,3.255986833,1060,3.1556,0.44967
31.9,997.82,3.027243733,1070,3.1608,0.44929
32.2,1008.92,3.152025795,1080,3.4356,0.4154
32.4,1016.33,2.992812563,1090,3.4352,0.19255
32.7,1027.44,2.961733856,1100,3.3052,0.29007
33,1038.55,3.217341547,1110,3.3548,0.13018
33.2,1045.96,3.367427939,1120,3.3463,0.34916
33.4,1053.36,3.213231181,1130,3.428,0.44867
33.6,1060.77,3.152976754,1140,3.3202,0.31205
33.8,1068.18,3.14133207,1150,3.3112,0.50737
34,1075.58,3.31976482,1160,3.3745,0.60385
34.2,1082.99,3.474820618,1170,3.5816,0.4507
34.4,1090.4,3.431888229,1180,3.3531,0.53524
34.6,1097.8,3.324762154,1190,3.5587,0.60518
34.8,1105.21,3.277879577,1200,3.4239,0.47841
35,1112.61,3.385558488,1210,3.3761,0.49756
35.2,1120.02,3.346342352,1220,3.3543,0.70418
35.4,1127.43,3.446867418,1230,3.4196,0.53799
35.6,1134.83,3.361623294,1240,3.3281,0.76162
35.8,1142.24,3.312943905,1250,3.5714,0.54826
36,1149.65,3.311099582,1260,3.4843,0.51941
36.2,1157.05,3.345004888,1270,3.5891,0.55595
36.4,1164.46,3.441548677,1280,3.4819,0.68757
36.6,1171.87,3.601299734,1290,3.3585,0.64957
36.8,1179.27,3.349972349,1300,3.4481,0.78235
37,1186.68,3.50224629,1310,3.4784,0.53501
37.2,1194.08,3.597750021,1320,3.4018,0.70101
37.4,1201.49,3.398579579,1330,3.6298,0.64176
37.6,1208.9,3.379737998,1340,3.6555,0.55243
37.8,1216.3,3.356036986,1350,3.3146,0.79196
38,1223.71,3.353662138,1360,3.1083,0.80001
38.2,1231.12,3.423910449,1370,3.349,0.35232
38.4,1238.52,3.311887367,1380,3.192,0.34101
38.6,1245.93,3.505843356,1390,3.1708,0.53917
38.8,1253.34,3.596102827,1400,3.3033,0.32665
39,1260.74,3.481097629,1410,3.3764,0.36844
39.2,1268.15,3.570812287,1420,3.2648,0.46399
39.4,1275.55,3.626098647,1430,3.4442,0.50935
39.6,1282.96,3.391109495,1440,3.5146,0.437
39.8,1290.37,3.358360208,1450,3.2604,0.5603
40,1297.77,3.602044927,1460,3.3668,0.53649
40.2,1301.15,3.391627931,1470,3.3069,0.41738
40.4,1304.53,3.467066984,1480,3.2939,0.44426
40.6,1307.91,3.468650607,1490,3.3283,0.42608
40.8,1311.29,3.482784718,1500,3.3293,0.46724
41,1314.67,3.419274472,1510,3.0546,0.4093
41.2,1318.05,3.473328954,1520,3.2544,0.34941
41.4,1321.43,3.356958249,1530,3.2087,0.29566
41.6,1324.81,3.589396913,1540,3.189,0.38584
41.8,1328.19,3.633096814,1550,3.4761,0.30217
42,1331.57,3.624440431,1560,3.328,0.50276
42.2,1334.95,3.607920499,1570,3.1843,0.67382
42.4,1338.32,3.665780787,1580,3.0331,0.4945
42.6,1341.7,3.632493266,1590,3.2501,0.36218
42.8,1345.08,3.529482478,1600,3.22,0.27709
43,1348.46,3.44370809,1610,3.2704,0.17219
43.2,1351.84,3.185986274,1620,3.146,0.33733
43.4,1355.22,3.220320564,1630,3.2872,0.32167
43.6,1358.6,3.09219741,1640,3.2781,0.37847
43.8,1361.98,3.155666121,1650,3.2629,0.45332
44,1365.36,3.246635095,1660,3.2428,0.4436
44.2,1368.74,3.351003593,1670,3.2195,0.42533
44.4,1372.12,3.344571722,1680,3.1945,0.40091
44.6,1375.5,3.430200858,1690,3.1693,0.37273
44.8,1378.87,3.22129283,1700,3.1453,0.34319
45,1382.25,3.161638775,1710,3.1241,0.3147
45.2,1385.63,3.161269741,1720,3.1073,0.28965
45.4,1389.01,3.168025287,1730,3.0963,0.27045
45.6,1392.39,3.180923273,1740,3.101,0.2595
45.8,1395.77,3.21809376,1750,3.1307,0.32789
46,1399.15,3.299339497,1760,3.1391,0.32658
46.2,1402.53,3.309082093,1770,3.2385,0.40871
46.4,1405.91,3.297824938,1780,3.2513,0.45432
46.6,1409.29,3.388605928,1790,3.1998,0.39437
46.8,1412.67,3.281228861,1800,3.1396,0.42442
47,1416.05,3.344131599,1810,3.1457,0.19713
47.2,1419.42,3.253409856,1820,3.3496,0.36475
47.4,1422.8,3.399152281,1830,3.3742,0.51254
47.6,1426.18,3.264138107,1840,3.2104,0.55052
47.8,1429.56,3.446453973,1850,3.2785,0.26381
48,1432.94,3.388830726,1860,3.6524,0.52292
48.2,1436.32,3.368591335,1870,3.3333,0.58092
48.4,1439.7,3.518463488,1880,3.3516,0.4555
48.6,1443.08,3.345196241,1890,3.3181,0.56779
48.8,1446.46,3.405607532,1900,3.3677,0.47074
49,1449.84,3.268764287,1910,3.3185,0.48135
49.2,1453.22,3.06538369,1920,3.1926,0.4658
49.4,1456.6,3.108981942,1930,3.3978,0.40258
49.6,1459.98,3.366115115,1940,3.2271,0.36456
49.8,1463.35,3.444066865,1950,3.2529,0.53111
50,1466.73,3.224952562,1960,3.053,0.38395
50.2,1469.57,3.299921005,1970,3.2978,0.36701
50.5,1473.84,3.347498926,1980,3.272,0.51491
50.7,1476.68,3.254565534,1990,3.4163,0.52306
50.9,1479.52,3.28122445,2000,3.3423,0.43942
51.1,1482.36,3.382570533,2010,3.2691,0.7989
51.4,1486.62,3.301824908,2020,3.2669,0.51758
51.6,1489.46,3.306613888,2030,3.3107,0.66092
51.8,1492.3,3.523630834,2040,3.1497,0.36351
52.1,1496.56,3.237122963,2050,3.1306,0.60587
52.3,1499.4,3.332619706,2060,3.0224,0.41436
52.5,1502.25,3.284511717,2070,2.8773,0.19044
52.7,1505.09,3.191664487,2080,2.9345,0.29676
53,1509.35,3.038229511,2090,2.8261,0.27401
53.2,1512.19,3.160880633,2100,2.9222,0.14312
53.4,1515.03,3.126352456,2110,2.9638,0.12324
53.6,1517.87,3.307614488,2120,3.0863,0.19133
53.9,1522.13,3.201158826,2130,2.9651,0.15971
54.1,1524.97,3.254020194,2140,3.0677,0.50619
54.3,1527.81,3.316434557,2150,3.2808,0.30439
54.6,1532.08,3.108956526,2160,3.0939,0.13048
54.8,1534.92,3.342987996,2170,3.0329,0.34309
55,1537.76,3.094823176,2180,3.0438,0.26146
55.2,1540.6,NaN,2190,3.0759,0.22213
55.5,1544.86,3.494391159,2200,3.0822,0.2087
55.7,1547.7,3.143941996,2210,3.1955,0.23943
55.9,1550.54,3.510811135,2220,3.2081,0.25383
56.2,1554.8,3.372550201,2230,3.148,0.35757
56.4,1557.64,3.27108619,2240,3.1952,0.34493
56.6,1560.48,3.332690301,2250,3.2415,0.31807
56.8,1563.33,3.179620001,2260,3.3619,0.38978
57.1,1567.59,3.209360735,2270,3.3381,0.38786
57.3,1570.43,3.176629421,2280,3.3008,0.3942
57.5,1573.27,3.050397802,2290,3.3265,0.39891
57.8,1577.53,3.132003231,2300,3.0994,0.56117
58,1580.37,3.028236586,2310,3.1326,0.42126
58.2,1583.21,3.127225606,2320,3.1301,0.3093
58.4,1586.05,2.92084503,2330,3.2307,0.60362
58.7,1590.31,3.255151722,2340,3.2295,0.33531
58.9,1593.16,3.203993851,2350,3.1963,0.28654
59.1,1596,3.170376758,2360,3.2825,0.30563
59.4,1600.26,3.22460717,2370,3.4967,0.42269
59.6,1603.1,3.301279178,2380,3.184,0.58301
59.8,1605.94,3.153881916,2390,3.1423,0.36805
60,1608.78,3.229996555,2400,3.1073,0.37078
60.3,1613.68,3.368423135,2410,2.9558,0.30572
60.5,1616.95,3.198171152,2420,2.7953,-0.091421
60.7,1620.22,3.145662974,2430,2.8499,0.10261
60.9,1623.48,3.288961932,2440,2.7082,-0.025724
68,1739.47,3.092556458,2450,2.6748,0.024962
68.2,1742.73,3.211593559,2460,2.7513,-0.17163
68.5,1747.63,3.093398167,2470,3.1891,-0.15116
68.7,1750.9,3.144264961,2480,3.3833,-0.074317
68.9,1754.17,3.164429825,2490,3.458,0.3523
69.2,1759.07,3.15239522,2500,3.414,0.55821
69.4,1762.33,3.096177818,2510,3.3448,0.63137
69.6,1765.6,3.216099698,2520,3.4993,0.6104
69.8,1768.87,3.244757498,2530,3.3396,0.53158
70.1,1773.47,3.203432513,2540,3.2843,0.64155
70.3,1776.13,3.306195577,2550,3.3167,0.435
70.5,1778.79,3.275224118,2560,3.2585,0.47527
70.8,1782.79,3.203559121,2570,3.4767,0.49528
71,1785.45,3.206500395,2580,3.2119,0.56245
71.2,1788.11,3.267984364,2590,3.235,0.58632
71.4,1790.78,3.182139042,2600,3.2786,0.46006
71.7,1794.77,3.282413846,2610,3.2922,0.49814
71.9,1797.43,2.861792634,2620,3.2394,0.61334
72.1,1800.1,3.140736067,2630,3.1426,0.46719
72.4,1804.09,3.022337227,2640,3.2623,0.49613
72.6,1806.76,2.950422887,2650,3.0856,0.33191
72.8,1809.42,3.127281505,2660,2.9828,0.22416
73,1812.08,3.192263438,2670,2.9598,0.23497
73.3,1816.08,3.27138577,2680,3.2868,0.22069
73.5,1818.74,3.351880118,2690,3.004,0.22117
73.7,1821.4,3.34700047,2700,3.2271,0.23211
74,1825.4,3.347048055,2710,3.1186,0.36329
74.2,1828.06,3.415250867,2720,3.0794,0.21197
74.4,1830.72,3.347837971,2730,2.7828,0.23429
74.6,1833.39,3.160606917,2740,2.9186,0.34547
74.9,1837.38,3.071863783,2750,3.1173,0.20172
75.1,1840.04,3.212922656,2760,2.8992,0.16911
75.3,1842.71,3.40807529,2770,3.0697,0.22142
75.5,1845.37,3.383865925,2780,2.9801,0.12131
75.8,1849.36,3.300073232,2790,2.9852,0.16705
76,1852.03,3.216263721,2800,3.1035,-0.035615
76.2,1854.69,3.334995642,2810,2.9636,0.16832
76.5,1858.68,3.726619782,2820,3.0354,0.17347
76.7,1861.35,3.52068836,2830,3.0508,0.25539
76.9,1864.01,3.28804433,2840,3.1297,0.3304
77.1,1866.67,3.435718576,2850,3.2193,0.33022
77.4,1870.67,3.32498025,2860,3.2625,0.36349
77.6,1873.33,3.410378408,2870,3.1085,0.33295
77.8,1875.99,3.370006075,2880,3.1838,0.30949
78.1,1879.99,3.351698305,2890,3.2747,0.53842
78.3,1882.65,3.276105592,2900,3.2285,0.3793
78.5,1885.31,3.283414346,2910,3.1318,0.40446
78.7,1887.98,3.348934938,2920,3.2132,0.38075
79,1891.97,3.288442009,2930,2.9758,0.37819
79.2,1894.63,3.313240326,2940,2.9543,0.12084
79.4,1897.3,3.258096538,2950,2.9881,0.29649
79.7,1901.29,3.403507636,2960,2.9913,-0.0014803
79.9,1903.95,3.390658168,2970,2.8808,0.052274
80.1,1906.95,3.226563243,2980,2.8651,0.013026
80.3,1910.26,3.320104103,2990,2.9905,-0.026148
80.6,1915.24,3.20941949,3000,3.1136,0.02041
80.8,1918.56,3.19626927,3010,3.1359,0.13851
81,1921.88,3.190012555,3020,3.0272,0.29126
81.3,1926.86,3.35755022,3030,2.9441,0.22986
81.5,1930.18,3.397984896,3040,3.0671,0.19237
81.7,1933.5,3.216316642,3050,2.9634,0.16331
81.9,1936.82,3.218181139,3060,2.7762,0.17826
82.2,1941.79,3.230304521,3070,2.8546,0.20295
82.4,1945.11,3.190345469,3080,2.8035,0.047529
82.6,1948.43,3.218028905,3090,3.0173,0.051656
82.9,1953.41,3.337997677,3100,2.9791,0.16726
83.1,1956.73,3.351105,3110,3.0997,0.12454
83.3,1960.05,3.052769907,3120,3.0889,0.15991
83.5,1963.37,3.372586848,3130,3.0938,0.30334
83.8,1968.35,3.342836012,3140,3.0388,0.17286
84,1971.67,3.260364756,3150,3.1483,0.28926
84.2,1974.98,3.274021195,3160,3.0458,0.23766
84.4,1978.3,3.274155194,3170,3.0807,0.24046
84.7,1983.28,3.266221945,3180,3.048,0.28945
84.9,1986.6,3.637359274,3190,3.1261,0.25984
85.1,1989.92,3.41854602,3200,2.9356,0.29005
85.4,1994.9,3.334743227,3210,3.1007,0.26012
85.6,1998.22,3.383236595,3220,3.0786,0.11207
85.8,2001.54,3.309298831,3230,3.0418,0.29233
86,2004.85,3.537289595,3240,3.185,0.40279
86.3,2009.83,3.268635869,3250,3.282,0.30948
86.5,2013.15,3.335432686,3260,3.3123,0.41894
86.7,2016.47,3.188069762,3270,3.294,0.42617
87,2021.45,3.317256549,3280,3.1707,0.36071
87.2,2024.77,3.459182715,3290,3.2797,0.34115
87.4,2028.09,3.352354769,3300,3.2178,0.33502
87.6,2031.41,3.287877615,3310,3.0923,0.2973
87.9,2036.39,3.239569321,3320,3.037,0.19279
88.1,2039.7,3.159487896,3330,3.0328,0.25457
88.3,2043.02,3.039202188,3340,3.1097,0.17579
88.6,2048,3.019952705,3350,2.9655,0.19351
88.8,2051.32,3.189833139,3360,3.0239,0.2709
89,2054.64,3.145030976,3370,3.0872,0.11957
89.2,2057.96,3.067485559,3380,2.9197,0.036024
89.5,2062.94,2.982849648,3390,2.8435,-0.15429
89.7,2066.26,3.151556429,3400,2.6577,0.10066
89.9,2069.57,2.875863731,3410,2.905,0.057287
90.2,2074.22,2.959594885,3420,2.8865,0.26509
90.4,2077.21,3.002542365,3430,3.0912,0.204
90.6,2080.19,2.933019102,3440,3.0016,0.13813
90.8,2083.18,2.926319146,3450,2.9884,0.14289
91.1,2087.66,2.981497158,3460,2.9661,0.04898
91.3,2090.65,2.804636191,3470,2.9372,0.095616
91.5,2093.64,2.891186024,3480,2.7462,0.21505
91.7,2096.62,3.03638709,3490,3.1121,0.097761
92,2101.1,2.901810775,3500,3.3308,-0.053002
92.2,2104.09,2.912267898,3510,2.8221,-0.049974
92.4,2107.08,3.003466264,3520,2.8027,-0.050453
92.7,2111.56,2.948448608,3530,2.7976,0.067104
92.9,2114.54,3.050199872,3540,2.8546,-0.013047
93.1,2117.53,3.37290988,3550,2.8198,-0.00017422
93.3,2120.52,3.061307854,3560,2.9539,0.11523
93.6,2125,3.33807422,3570,2.8173,-0.017313
93.8,2127.98,3.08049754,3580,2.9945,0.14755
94,2130.97,2.937838295,3590,2.8762,0.024222
94.3,2135.45,2.910669835,3600,3.1516,0.14493
94.5,2138.44,2.989796323,3610,3.0184,0.3544
94.7,2141.42,3.113942568,3620,2.8392,0.049087
94.9,2144.41,3.099724507,3630,3.0166,0.23263
95.2,2148.89,3.204055805,3640,3.0444,0.1295
95.4,2151.88,3.400732157,3650,2.9761,0.15104
95.6,2154.86,3.270620995,3660,2.9954,0.23281
95.9,2159.35,3.086048685,3670,3.124,0.213
96.1,2162.33,3.150596984,3680,2.92,0.2593
96.3,2165.32,2.980470416,3690,3.056,0.12428
96.5,2168.31,3.062332347,3700,3.1916,0.21992
96.8,2172.79,2.970269591,3710,3.0853,0.29897
97,2175.77,3.068458478,3720,2.997,0.27769
97.2,2178.76,3.043226821,3730,3.1007,0.16912
97.5,2183.24,3.046236969,3740,3.1141,0.23225
97.7,2186.23,3.034952987,3750,3.2136,0.2166
97.9,2189.21,3.068944354,3760,3.3072,0.39001
98.1,2192.2,3.088480475,3770,3.1455,0.40574
98.4,2196.68,3.083923952,3780,3.2054,0.5325
98.6,2199.67,3.078568279,3790,3.2943,0.35728
98.8,2202.65,3.185797403,3800,3.2752,0.37719
99,2205.64,3.113099076,3810,3.3782,0.44094
99.3,2210.12,3.1956376,3820,3.3128,0.49395
99.5,2213.11,3.153715844,3830,3.2919,0.56318
99.7,2216.09,3.205116112,3840,3.1901,0.34633
100,2220.57,3.208196048,3850,3.0326,0.20667
100.2,2223.18,2.897868045,3860,3.0335,0.23028
100.4,2225.79,3.161838984,3870,2.9411,0.089207
100.6,2228.39,3.146212165,3880,2.8896,0.057076
100.9,2232.3,3.15678834,3890,3.0644,0.2134
101.1,2234.91,3.248811927,3900,2.9148,0.12639
101.3,2237.51,3.148536964,3910,2.9274,0.089764
101.6,2241.42,3.22126996,3920,2.855,0.015911
101.8,2244.03,3.234030126,3930,2.7545,-0.087982
102,2246.63,3.213849285,3940,2.6568,-0.19341
102.2,2249.24,3.243885144,3950,2.6499,-0.1586
102.5,2253.15,3.219283905,3960,2.7829,-0.053896
102.7,2255.76,3.28042353,3970,2.9153,0.080268
102.9,2258.36,3.411615466,3980,2.8181,-0.020929
103.2,2262.27,3.243627207,3990,2.925,0.12004
103.4,2264.88,3.162980693,4000,2.5897,-0.24856
103.6,2267.48,3.379019642,4010,2.6055,-0.30546
103.8,2270.09,3.336127087,4020,2.773,-0.038722
104.1,2274,3.204018525,4030,2.8623,0.036347
104.3,2276.6,3.146826971,4040,2.7648,-0.11707
104.5,2279.21,3.267127955,4050,2.7858,-0.03502
104.8,2283.12,3.398459261,4060,2.9039,0.00947
105,2285.73,3.308656588,4070,2.8389,0.04329
105.2,2288.33,3.166051895,4080,2.764,0.0071918
105.4,2290.94,3.393798281,4090,2.835,-0.019023
105.7,2294.85,3.22983913,4100,3.1282,0.095237
105.9,2297.45,3.374092035,4110,2.8699,0.41541
106.1,2300.06,3.098965528,4120,2.9497,-0.031175
106.3,2302.66,3.182622134,4130,3.0298,0.099397
106.6,2306.57,3.075917421,4140,2.9093,0.1972
106.8,2309.18,3.104410542,4150,3.1742,0.080544
107,2311.79,3.236269683,4160,2.9881,0.31315
107.3,2315.69,3.467714578,4170,2.8774,0.14206
107.5,2318.3,3.198820992,4180,2.6712,0.050243
107.7,2320.91,3.117116321,4190,2.692,-0.075728
107.9,2323.51,3.147624766,4200,2.9678,-0.1873
108.2,2327.42,3.203959939,4210,2.9615,0.075346
108.4,2330.03,3.230873737,4220,3.2242,0.034068
108.6,2332.63,3.240794133,4230,2.6807,0.35514
108.9,2336.54,3.093704451,4240,2.9165,0.11828
109.1,2339.15,3.231368889,4250,3.1506,-0.14645
109.3,2341.75,3.216563122,4260,2.9596,0.16533
109.5,2344.36,3.135639133,4270,2.6927,0.23881
109.8,2348.27,3.16189839,4280,2.8915,0.020983
110,2350.88,3.228766148,4290,2.8438,-0.0057453
110.2,2353.3,3.581950758,4300,2.8325,0.0078222
110.5,2356.93,3.160073441,4310,2.8387,0.014902
110.7,2359.35,3.290576139,4320,2.7648,0.10673
110.9,2361.77,3.245097283,4330,2.8367,-0.062767
111.1,2364.2,3.419523722,4340,3.0871,0.029805
111.4,2367.83,3.411346073,4350,3.2446,0.080058
111.6,2370.25,3.499309469,4360,3.1511,0.27687
111.8,2372.67,3.243354256,4370,3.2147,0.42064
112.1,2376.3,3.193696607,4380,3.3655,0.32132
112.3,2378.73,3.268788254,4390,3.2848,0.49186
112.5,2381.15,3.110930921,4400,3.5179,0.44591
112.7,2383.57,3.192005049,4410,3.2994,0.4738
113,2387.2,3.235676574,4420,3.222,0.68438
113.2,2389.62,3.156300288,4430,3.1128,0.4708
113.4,2392.05,3.077407413,4440,2.8958,0.29238
113.6,2394.47,3.154590075,4450,2.6692,0.34984
113.9,2398.1,3.157804368,4460,2.6429,0.05713
114.1,2400.52,3.081740061,4470,2.9326,-0.2558
114.3,2402.94,2.73817127,4480,2.7639,-0.12505
114.6,2406.58,2.904466104,4490,2.7077,0.095373
114.8,2409,2.913084825,4500,2.863,-0.1018
115,2411.42,3.022132298,4510,2.718,-0.12573
115.2,2413.84,2.886462754,4520,2.6423,0.020285
115.5,2417.47,2.907950686,4530,2.873,-0.11245
115.7,2419.9,2.795256981,4540,2.835,-0.1904
115.9,2422.32,2.808676637,4550,3.0657,0.0074066
116.2,2425.95,2.973077583,4560,2.9324,-0.047682
116.4,2428.37,2.816916016,4570,2.6315,0.15682
116.6,2430.79,2.860942228,4580,2.7322,0.11741
116.8,2433.21,2.8549739,4590,2.8649,-0.1628
117.1,2436.85,2.738099727,4600,2.6765,-0.12947
117.3,2439.27,2.72383207,4610,2.6958,0.035126
117.5,2441.69,2.655619158,4620,2.9937,-0.15546
117.8,2445.32,2.611389074,4630,2.7248,-0.13815
