labID,"		age_C14_years","	error","	depth_cm",cc_no_units,dR_C14_years,dSTD_C14_years,t.a_no_units,t.b_no_units
0,-66,0,0,0,0,0,3,4
22,-6,1,1,0,0,0,3,4
23,940,30,15.5,3,0,0,3,4
24,2850,30,28.5,3,0,0,3,4
25,5830,30,36.5,3,0,0,3,4
26a,9500,30,50.5,3,0,0,3,4
27a,9840,30,66.5,3,0,0,3,4
28a,10550,30,74.25,3,0,0,3,4
29a,10580,40,74.25,3,0,0,3,4
30a,11020,30,78.25,3,0,0,3,4
32a,10730,40,100.25,3,0,0,3,4
33,17060,50,114.5,3,0,0,3,4
34,23180,80,162.5,3,0,0,3,4
35,22250,80,207.3,3,0,0,3,4
36,23150,90,295.01,3,0,0,3,4