variable, start date, end date,Precipitation_lat51.30_long72.67
,,,mm/day
PPN (5216),01/12/1979 00:00,01/12/1980 00:00,1.0019997
PPN (5216),01/12/1980 00:00,01/12/1981 00:00,0.86171037
PPN (5216),01/12/1981 00:00,01/12/1982 00:00,0.89865404
PPN (5216),01/12/1982 00:00,01/12/1983 00:00,0.88995945
PPN (5216),01/12/1983 00:00,01/12/1984 00:00,1.0662898
PPN (5216),01/12/1984 00:00,01/12/1985 00:00,0.97730666
PPN (5216),01/12/1985 00:00,01/12/1986 00:00,0.9156059
PPN (5216),01/12/1986 00:00,01/12/1987 00:00,1.2114137
PPN (5216),01/12/1987 00:00,01/12/1988 00:00,0.98930746
PPN (5216),01/12/1988 00:00,01/12/1989 00:00,1.0000041
PPN (5216),01/12/1989 00:00,01/12/1990 00:00,1.3136262
PPN (5216),01/12/1990 00:00,01/12/1991 00:00,0.72433013
PPN (5216),01/12/1991 00:00,01/12/1992 00:00,1.2318699
PPN (5216),01/12/1992 00:00,01/12/1993 00:00,1.2526097
PPN (5216),01/12/1993 00:00,01/12/1994 00:00,1.1316795
PPN (5216),01/12/1994 00:00,01/12/1995 00:00,1.1644299
PPN (5216),01/12/1995 00:00,01/12/1996 00:00,1.2228918
PPN (5216),01/12/1996 00:00,01/12/1997 00:00,0.6170283
PPN (5216),01/12/1997 00:00,01/12/1998 00:00,0.81385225
PPN (5216),01/12/1998 00:00,01/12/1999 00:00,0.97049403
PPN (5216),01/12/1999 00:00,01/12/2000 00:00,1.2357147
PPN (5216),01/12/2000 00:00,01/12/2001 00:00,1.4361966
PPN (5216),01/12/2001 00:00,01/12/2002 00:00,1.1295329
PPN (5216),01/12/2002 00:00,01/12/2003 00:00,0.98768389
PPN (5216),01/12/2003 00:00,01/12/2004 00:00,1.081668
PPN (5216),01/12/2004 00:00,01/12/2005 00:00,1.0593083
PPN (5216),01/12/2005 00:00,01/12/2006 00:00,1.0154665
PPN (5216),01/12/2006 00:00,01/12/2007 00:00,1.0040518
PPN (5216),01/12/2007 00:00,01/12/2008 00:00,0.8205139
PPN (5216),01/12/2008 00:00,01/12/2009 00:00,0.98811293
PPN (5216),01/12/2009 00:00,01/12/2010 00:00,0.64821196
PPN (5216),01/12/2010 00:00,01/12/2011 00:00,0.9087674
PPN (5216),01/12/2011 00:00,01/12/2012 00:00,0.9086951
PPN (5216),01/12/2012 00:00,01/12/2013 00:00,1.2552254
PPN (5216),01/12/2013 00:00,01/12/2014 00:00,1.2045379
PPN (5216),01/12/2014 00:00,01/12/2015 00:00,1.018092
PPN (5216),01/12/2015 00:00,01/12/2016 00:00,1.2658287